mat.,status,kod,V,K1,K2,1.rok
177045202, RED ,SIT109,60,0,0,0,1
243095743, IZV ,SIT013,50,0,0,0,1
38813, IZV ,SIT013,0,0,0,0,NOOP
2033109187, RED ,SIT109,100,87,90,0,90.8
243106169, RED ,SIT109,90,80,60,0,74.0
243096212, IZV ,SIT109,70,45,65,0,58.0
243106340, RED ,SIT109,50,5,0,0,1
37526, IZV ,SIT013,60,50,60,0,56.0
243106473, RED ,SIT109,0,0,0,0,NOOP
18134622, IZV ,SIT013,0,0,0,0,NOOP
243106489, RED ,SIT109,0,0,0,0,NOOP
23117076, RED ,SIT109,50,0,0,0,1
243102063, IZV ,SIT109,0,0,0,0,NOOP
243107993, IZV ,SIT109,0,0,0,0,NOOP
243101755, IZV ,SIT109,0,0,0,0,NOOP
243106928, RED ,SIT109,0,0,0,0,NOOP
177048017, RED ,SIT109,65,50,0,0,1
243099560, RED ,SIT109,0,0,0,0,NOOP
177052282, RED ,SIT109,60,30,50,0,1
23096241, RED ,SIT109,0,0,0,0,NOOP
269077698, IZV ,SIT109,0,0,0,0,NOOP
11165743, IZV ,SIT109,50,0,0,0,1
38809, IZV ,SIT013,50,50,0,0,1
177052513, RED ,SIT109,0,0,0,0,NOOP
177051313, RED ,SIT109,60,40,65,0,54.0
38803, IZV ,SIT013,0,0,0,0,NOOP
243095673, IZV ,SIT013,50,45,0,0,1
243102955, IZV ,SIT109,0,30,0,0,NOOP
243106564, RED ,SIT109,60,55,56,0,56.4
243098836, IZV ,SIT013,0,0,0,0,NOOP
243106286, RED ,SIT109,0,0,0,0,NOOP
23123561, IZV ,SIT109,50,0,0,0,1
55478566, RED ,SIT109,0,0,0,0,NOOP
243096296, IZV ,SIT013,50,30,0,0,1
243106884, IZV ,SIT109,0,0,0,0,NOOP
243106153, RED ,SIT109,0,0,0,0,NOOP
171265449, RED ,SIT109,0,0,0,0,NOOP
35679, IZV ,SIT013,0,0,0,0,NOOP
243102128, RED ,SIT109,0,0,0,0,NOOP
243095353, IZV ,SIT013,50,25,0,0,1
23113243, IZV ,SIT109,0,0,0,0,NOOP
32720, IZV ,SIT013,50,10,0,0,1
243095647, IZV ,SIT013,50,20,20,0,1
38814, IZV ,SIT013,50,0,0,0,1
243106132, RED ,SIT109,50,40,0,0,1
18117077, IZV ,SIT109,0,0,0,0,NOOP
243100555, RED ,SIT109,70,60,52,0,58.8
243089627, IZV ,SIT109,0,0,0,0,NOOP
23117055, RED ,SIT109,50,40,0,0,1
243096371, IZV ,SIT013,0,25,0,0,NOOP
63025008, RED ,SIT109,60,60,75,0,66.0
243106447, RED ,SIT109,70,65,60,0,64.0
243106767, IZV ,SIT109,0,0,0,0,NOOP
243106291, RED ,SIT109,50,25,0,0,1
177041357, IZV ,SIT013,0,0,0,0,NOOP
177051131, RED ,SIT109,80,85,0,0,1
243099604, RED ,SIT109,70,95,65,0,78.0
243106127, RED ,SIT109,80,95,70,0,82.0
243106933, IZV ,SIT109,0,0,0,0,NOOP
36802, IZV ,SIT013,0,0,0,0,NOOP
55464985, RED ,SIT109,0,0,0,0,NOOP
23116448, RED ,SIT109,0,0,0,0,NOOP
177047436, IZV ,SIT109,50,0,0,0,1
18136861, RED ,SIT109,0,0,0,0,NOOP
243095694, IZV ,SIT013,0,0,0,0,NOOP
23113883, IZV ,SIT109,50,0,0,0,1
243106223, RED ,SIT109,55,62,45,0,53.8
243106398, RED ,SIT109,0,0,0,0,NOOP
243106239, RED ,SIT109,0,0,0,0,NOOP
23115120, RED ,SIT109,90,62,0,0,1
