,Life expectancy,1806,1816,1826,1836,1846,1856,1866,1876,1886,1896,1906,1916,1926,1936,1946,1956,1966,1976,1986,1996,2006
181,Puerto Rico,30.43,30.43,30.43,30.43,30.43,30.43,30.43,30.43,30.43,31.15,33.71,38.34,39.77,43.87,54.91,66.87,70.03,72.98,74.07,73.6,76.8
182,Qatar,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,44.39,57.81,65.25,70.79,73.74,74.5,76.7
183,Reunion,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,35.46,51.94,60.36,66.53,71.14,74.79,77.81
184,Romania,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,35.7,38.86,46.25,54.06,62.54,67.98,69.87,70.02,69.1,72.8
185,Russia,29.57,29.57,29.57,29.57,29.57,29.0,29.57,30.93,34.26,28.27,31.97,31.5,38.4,41.1,46.08,64.85,69.43,67.98,69.8,65.7,66.7
186,Rwanda,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,31.8,26.0,26.0,24.0,33.87,38.13,41.69,44.85,46.31,49.42,44.6,61.6
190,St. Lucia,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01,32.15,40.42,48.59,53.92,60.58,65.96,69.83,71.2,73.4
192,St. Vincent and the Grenadines,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,25.99,30.12,38.4,46.63,53.58,63.06,66.16,68.92,69.4,70.6
194,Samoa,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,25.4,27.84,40.52,49.09,54.98,60.84,66.67,70.2,72.0
196,Sao Tome and Principe,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.97,41.86,48.6,54.47,60.63,62.59,63.9,65.7
197,Saudi Arabia,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,34.46,45.23,51.68,62.83,71.66,75.8,77.9
198,Senegal,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,25.2,24.16,26.15,30.01,37.19,38.7,45.07,55.36,58.8,62.5
199,Serbia,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,21.0,40.04,47.59,51.12,61.15,66.56,70.03,71.78,71.9,73.6
202,Seychelles,37.0,37.0,37.0,37.0,37.0,37.0,37.0,38.57,41.2,43.82,46.45,49.07,51.7,54.32,56.73,58.18,63.11,67.26,69.36,69.9,72.3
203,Sierra Leone,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,24.71,27.47,34.09,39.38,49.31,52.98,51.9,52.7
204,Singapore,29.1,29.1,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,38.88,47.01,43.86,62.73,66.46,69.62,73.27,76.7,80.2
205,Slovak Republic,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.4,36.7,39.7,42.7,47.37,52.73,54.02,68.42,70.53,70.62,71.07,72.8,74.5
206,Slovenia,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,42.17,51.45,54.98,67.25,69.14,70.51,72.17,75.0,77.9
207,Solomon Islands,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,25.1,27.51,38.41,48.26,54.0,59.9,59.84,61.4,61.9
208,Somalia,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,30.57,36.47,41.14,45.7,49.36,49.9,52.2
210,South Africa,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,33.5,36.51,41.53,47.19,51.3,54.86,60.32,61.6,52.5
212,Spain,29.5,29.5,29.5,29.5,29.5,29.5,29.5,29.5,30.54,33.45,39.79,43.98,47.76,50.9,57.56,66.79,71.2,73.81,76.59,78.1,80.7
213,Sri Lanka,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,27.03,32.76,38.41,42.51,45.92,57.71,62.62,67.17,70.0,71.3,73.9
214,Sudan,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,39.02,47.45,52.42,56.23,58.01,60.6,64.9
215,Suriname,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,33.77,42.48,51.46,58.72,63.07,66.47,69.15,70.2,70.0
217,Swaziland,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,32.3,34.09,43.3,46.76,52.58,59.15,57.1,43.1
218,Sweden,36.17,41.74,43.08,45.13,42.04,42.14,44.73,44.82,50.6,53.49,56.7,58.22,62.79,64.61,69.5,72.64,74.09,74.96,76.98,79.1,80.8
219,Switzerland,38.0,38.0,38.0,38.0,38.0,38.0,38.0,40.1,44.68,48.88,50.72,56.59,60.64,63.18,66.08,70.23,72.5,74.98,77.17,79.1,81.5
220,Syria,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,31.1,32.19,43.17,50.7,56.42,63.6,68.94,73.1,75.7
221,Taiwan,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,28.3,30.0,37.0,42.0,43.5,62.51,67.42,70.41,73.11,74.7,77.8
222,Tajikistan,24.24,24.24,24.24,24.24,24.24,24.24,22.66,22.44,24.44,26.44,27.64,29.04,34.91,39.41,47.32,55.26,59.9,63.34,65.69,63.3,68.7
223,Tanzania,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,34.4,44.05,47.77,52.71,55.54,53.8,57.9
224,Thailand,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,30.4,38.89,40.64,53.28,58.18,62.7,69.15,70.6,73.5
225,Timor-Leste,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,28.95,21.21,34.94,42.12,40.94,53.99,62.3,68.5
226,Togo,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,31.3,32.06,38.28,45.09,51.49,56.79,57.3,57.5
228,Tonga,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,28.2,29.39,41.28,53.11,59.77,63.27,66.16,68.48,69.7,70.1
230,Trinidad and Tobago,32.9,32.9,32.9,32.9,38.8,38.8,38.8,38.8,38.8,38.8,38.8,38.8,42.25,48.63,54.63,60.27,65.31,67.08,68.62,69.3,71.3
231,Tunisia,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,29.53,32.45,35.36,40.94,48.33,60.03,69.2,73.4,76.4
232,Turkey,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,19.0,35.0,35.37,37.21,43.99,51.74,58.81,65.76,70.6,76.7
233,Turkmenistan,24.0,24.0,24.0,24.0,24.0,24.0,21.5,20.66,22.66,24.66,25.86,27.26,33.13,37.63,45.4,53.14,57.61,60.73,63.63,63.2,66.3
236,Uganda,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,25.3,24.18,26.15,31.22,42.82,49.07,51.65,51.94,48.2,54.9
237,Ukraine,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,38.99,35.0,45.95,50.3,55.24,67.15,71.66,70.01,70.82,66.7,67.9
238,United Arab Emirates,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,30.7,32.73,47.62,57.81,64.87,69.34,72.1,75.7
239,United Kingdom,43.22,39.94,39.83,41.43,39.96,43.25,40.41,43.69,45.33,47.41,50.58,47.73,59.66,61.85,66.45,70.42,71.43,72.62,74.78,76.9,79.2
240,United States,39.41,39.41,39.41,39.41,39.41,39.41,39.41,39.41,42.89,47.44,50.1,54.2,57.9,60.4,66.33,69.71,70.43,72.99,74.87,76.3,77.8
241,Uruguay,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,34.22,47.38,60.59,66.93,68.78,69.58,72.2,73.5,75.7
243,Uzbekistan,26.93,26.93,26.93,26.93,26.93,26.93,25.35,25.13,27.13,29.13,30.33,31.73,37.6,42.1,49.85,57.58,62.02,65.11,68.02,66.7,68.8
245,Vanuatu,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,26.36,36.5,43.67,49.44,55.05,60.27,62.4,62.9
246,Venezuela,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,32.2,33.9,47.93,57.64,63.66,68.23,71.27,73.1,74.5
247,West Bank and Gaza,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,33.03,42.83,48.78,54.94,62.6,69.82,74.0,74.4
249,Western Sahara,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,34.75,36.86,40.62,46.11,54.99,60.51,65.41
250,Vietnam,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,33.0,35.84,55.83,61.36,62.07,68.07,70.9,73.5
251,Virgin Islands (U.S.),33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,37.54,45.82,54.09,61.88,66.02,70.11,73.41,76.52,78.69
254,Yemen,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.39,23.46,28.8,38.15,47.05,56.4,60.7,65.0
256,Zambia,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,35.3,46.1,51.49,57.07,54.85,46.3,47.9
257,Zimbabwe,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,33.7,42.55,51.22,55.65,59.94,64.9,54.4,45.5
259,South Sudan,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,27.55,32.17,38.04,43.43,47.72,53.1,55.4
