,Life expectancy,1806,1816,1826,1836,1846,1856,1866,1876,1886,1896,1906,1916,1926,1936,1946,1956,1966,1976,1986,1996,2006
43,Chile,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,30.8,32.14,35.92,39.02,47.06,55.57,59.54,65.75,71.8,75.7,78.2
44,China,32.0,32.0,32.0,32.0,32.0,26.0,31.79,29.5,32.0,32.0,32.0,32.0,32.36,36.2,38.17,49.57,55.37,60.46,66.05,68.8,72.6
47,Colombia,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,35.45,44.42,55.07,61.16,65.58,70.74,72.2,75.3
48,Comoros,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,33.88,42.38,46.63,51.46,55.77,58.4,66.3
49,"Congo, Dem. Rep.",31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,31.6,36.49,42.39,46.2,50.49,53.55,51.8,56.8
50,"Congo, Rep.",32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,32.7,34.38,45.5,51.45,54.45,55.79,52.2,57.8
52,Costa Rica,30.21,30.21,30.21,30.21,30.21,30.21,30.21,30.21,30.2,33.06,34.94,35.1,39.36,45.02,52.54,59.57,65.33,70.75,75.66,76.8,79.3
53,Cote d'Ivoire,31.16,31.16,31.16,31.16,31.16,31.16,31.16,31.16,31.16,31.16,31.16,31.16,31.16,31.16,31.5,35.03,42.21,50.37,55.26,52.3,54.1
54,Croatia,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,36.1,40.93,48.98,50.13,63.06,67.16,70.0,71.78,73.4,75.9
55,Cuba,33.02,34.4,36.08,36.42,36.08,36.54,32.72,32.26,42.08,21.3,34.37,36.51,39.31,45.15,52.4,61.48,67.6,72.59,74.62,75.2,77.3
56,Cyprus,38.5,38.5,38.5,38.5,38.51,38.51,38.51,38.51,38.51,39.16,45.25,47.56,48.46,48.46,58.8,68.26,71.62,74.15,76.12,77.1,79.5
57,Czech Republic,34.95,34.95,34.95,34.95,34.95,34.95,34.95,34.96,34.98,36.76,42.69,47.69,53.31,58.04,58.04,69.47,70.65,70.88,71.42,73.8,76.5
59,Denmark,43.78,44.08,40.26,39.92,40.43,46.78,42.95,45.88,49.0,52.99,56.6,56.97,61.71,63.5,67.26,72.11,72.57,73.91,74.86,75.9,78.3
60,Djibouti,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,32.52,43.71,48.9,55.29,59.74,60.3,60.7
62,Dominican Republic,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,29.9,30.86,40.94,50.01,58.02,64.25,69.34,72.6,73.5
64,Ecuador,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,32.9,42.33,51.23,57.47,62.3,68.83,72.5,74.3
65,Egypt,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,31.3,34.47,45.29,51.29,55.93,63.07,67.9,70.1
66,El Salvador,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,28.7,33.07,40.56,48.68,55.93,58.33,62.54,70.3,73.3
67,Equatorial Guinea,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,29.8,30.9,36.3,39.78,43.28,47.33,48.9,56.8
68,Eritrea,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,30.2,31.75,37.86,41.22,45.49,49.38,58.4,60.0
70,Estonia,34.12,39.1,35.55,38.35,34.94,39.33,33.02,41.89,41.48,43.01,45.48,44.3,52.49,56.76,54.02,67.36,70.78,69.88,71.11,69.8,72.9
71,Ethiopia,29.7,29.7,29.7,27.0,29.7,29.7,24.0,29.7,29.7,28.7,29.7,29.7,29.7,23.0,30.21,35.25,39.09,42.86,41.39,50.0,57.2
74,Fiji,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,27.1,37.1,47.06,53.89,58.14,61.5,64.2,64.3,64.8
75,Finland,38.78,38.69,38.13,30.78,38.61,29.96,28.74,41.81,40.92,46.56,47.07,48.03,53.83,56.16,60.28,68.01,69.68,72.04,74.86,76.8,79.2
76,France,35.0,40.04,37.76,41.95,40.67,40.18,41.83,43.55,43.17,47.56,47.74,39.51,54.03,58.81,62.41,68.57,71.67,73.38,75.95,78.4,80.7
77,French Guiana,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,30.5,31.37,40.07,48.77,55.22,63.0,66.24,70.57,73.84,75.65
78,French Polynesia,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,26.4,34.4,42.4,53.55,58.65,62.23,67.59,70.82,74.48
79,Gabon,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,30.6,31.45,37.83,42.21,50.23,58.04,59.6,60.9
80,Gambia,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,28.8,30.08,34.06,39.47,49.58,58.97,62.8,65.2
81,Georgia,31.87,31.87,31.87,31.87,31.87,31.87,30.3,30.07,32.07,34.07,35.27,36.67,42.54,47.05,54.63,61.93,65.9,69.0,69.86,71.2,71.9
82,Germany,38.37,38.37,38.37,38.37,38.37,38.37,38.37,38.48,39.73,42.69,46.04,38.99,57.83,61.79,60.51,68.57,70.77,72.02,74.75,76.9,79.7
83,Ghana,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.52,33.77,39.17,44.36,48.8,52.0,55.75,60.1,61.2
85,Greece,36.6,36.6,36.6,36.6,36.6,36.6,36.6,36.6,37.58,39.22,41.04,43.59,47.6,52.34,56.15,66.79,70.12,72.85,75.73,77.9,80.0
86,Greenland,33.87,33.87,33.87,33.87,33.87,33.87,33.87,33.87,32.25,34.28,36.36,32.87,37.78,33.36,41.71,57.94,63.71,64.14,63.81,66.8,69.5
87,Grenada,31.4,31.4,31.4,31.4,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,40.75,47.13,53.16,58.61,63.16,66.52,69.06,70.8,70.5
88,Guadeloupe,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,27.66,31.79,40.07,48.34,56.11,62.75,67.93,72.21,75.82,78.95
89,Guam,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,27.5,28.65,40.1,50.08,59.12,64.26,68.43,71.58,73.2,72.7
90,Guatemala,25.8,25.8,25.8,25.81,25.81,25.81,25.81,25.81,25.81,25.82,25.82,25.82,25.81,27.32,37.25,44.23,50.43,57.32,62.28,68.1,70.2
92,Guinea,29.56,29.67,29.77,29.87,29.98,30.08,30.18,30.29,30.39,30.49,30.6,30.7,30.8,30.91,31.56,34.64,36.96,40.47,48.35,53.8,56.4
93,Guinea-Bissau,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,34.03,37.71,41.58,44.63,46.77,49.87,52.6,53.0
94,Guyana,31.12,31.12,31.12,31.12,31.12,31.12,31.12,31.12,31.12,31.12,31.12,32.87,38.4,46.08,54.11,58.38,60.09,61.72,63.41,64.3,64.8
95,Haiti,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,32.61,39.74,45.43,49.28,52.81,56.7,60.3
97,Honduras,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,33.9,35.98,39.89,44.83,52.02,59.15,67.67,70.1,71.4
98,"Hong Kong, China",34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,34.9,40.34,49.42,58.49,65.11,70.37,73.78,76.53,78.99,82.12
99,Hungary,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.8,38.79,41.14,46.95,54.29,55.01,66.07,69.98,69.75,69.22,70.5,73.3
100,Iceland,45.82,31.12,25.63,30.86,18.31,42.34,27.2,40.25,44.97,53.22,53.58,54.53,60.79,62.75,68.6,73.08,73.4,76.94,78.38,79.4,81.8
101,India,25.44,25.44,25.44,25.44,25.44,25.44,21.04,20.0,24.85,22.75,21.89,24.11,27.09,30.95,33.8,38.48,45.73,52.93,57.11,60.2,63.9
102,Indonesia,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,34.5,30.56,41.57,44.18,56.67,62.15,66.4,68.9
103,Iran,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,34.2,43.47,49.66,57.64,59.01,69.8,72.4
104,Iraq,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,31.2,33.08,42.11,53.51,59.35,60.65,65.3,65.1
105,Ireland,38.3,38.3,38.3,38.3,19.8,38.3,40.15,42.79,45.44,48.08,51.6,55.07,57.6,58.9,61.56,69.43,70.89,72.81,74.93,77.5,79.8
107,Israel,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,34.14,55.54,67.1,70.17,72.33,74.92,77.7,79.6
108,Italy,29.69,29.69,29.69,29.69,29.69,29.69,29.69,33.6,35.1,40.7,45.09,39.27,50.96,56.75,58.96,67.62,70.99,73.07,75.94,78.3,81.2
109,Jamaica,34.2,34.2,34.2,34.2,34.2,34.2,34.2,34.2,36.9,37.6,32.4,35.6,40.7,44.4,51.89,62.83,69.17,72.58,74.84,74.5,75.5
110,Japan,36.4,36.41,36.41,36.41,36.42,36.42,36.46,36.85,37.4,38.2,39.37,41.13,45.05,48.62,46.5,65.62,71.12,74.78,78.22,80.2,82.2
